"","SRR9137553_GSM3823667_CON_1_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137554_GSM3823668_CON_2_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137555_GSM3823669_CON_3_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137556_GSM3823670_CON_4_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137557_GSM3823671_CON_5_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137558_GSM3823672_CON_6_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137559_GSM3823673_CON_7_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137560_GSM3823674_CON_8_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137565_GSM3823679_RIL_1_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137566_GSM3823680_RIL_2_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137567_GSM3823681_RIL_3_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM","SRR9137568_GSM3823682_RIL_4_Mus_musculus_RNA-Seq.fastq.gz.subread.BAM"
"ENSMUSG00000047657",8,6,19,15,6,12,8,18,9,3,8,7
"ENSMUSG00000110609",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110703",0,0,1,1,1,0,0,0,0,0,0,0
"ENSMUSG00002076098",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079011",1,0,0,0,1,0,0,0,0,0,1,0
"ENSMUSG00000031621",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000034518",11,13,23,27,17,9,20,12,27,10,25,13
"ENSMUSG00000110593",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042870",6,14,7,24,24,17,18,21,9,17,13,11
"ENSMUSG00000110433",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110429",0,0,0,2,0,1,0,0,1,0,0,0
"ENSMUSG00000005413",968,389,1377,845,682,531,1035,654,400,323,322,540
"ENSMUSG00000005410",11,28,95,39,66,34,66,41,13,8,36,26
"ENSMUSG00000110693",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110640",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000034472",0,1,0,2,2,1,2,5,0,0,2,2
"ENSMUSG00000110515",0,2,2,0,0,0,0,0,1,0,0,1
"ENSMUSG00000110432",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110543",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049891",0,5,11,3,2,2,5,1,5,1,3,2
"ENSMUSG00000110668",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110469",898,1287,2949,2008,1914,1446,1979,1486,1238,959,1180,1211
"ENSMUSG00000031620",0,1,0,0,1,0,0,0,0,0,1,0
"ENSMUSG00000103054",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101431",0,1,3,0,7,2,1,2,0,0,1,4
"ENSMUSG00000110485",0,0,0,1,0,1,0,0,0,0,0,0
"ENSMUSG00000110603",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077537",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110553",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000119876",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110655",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098215",0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000110595",1,2,10,2,3,1,0,4,0,2,0,0
"ENSMUSG00000074235",0,1,1,0,2,2,0,1,1,0,0,1
"ENSMUSG00002075326",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000036550",125,145,283,198,172,138,196,166,123,99,193,127
"ENSMUSG00000065089",0,0,1,0,1,0,0,0,0,0,0,0
"ENSMUSG00000106145",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065211",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105690",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110556",0,0,3,1,0,0,0,0,1,1,2,0
"ENSMUSG00000074136",0,0,2,2,1,0,0,0,2,0,1,0
"ENSMUSG00000110489",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000061104",131,185,390,251,290,182,304,223,173,149,202,222
"ENSMUSG00000110661",1,0,0,0,0,0,2,0,0,0,4,0
"ENSMUSG00000036534",47,34,112,70,81,43,68,54,34,33,47,56
"ENSMUSG00000031672",1204,1576,2486,2402,2834,1597,2701,2007,2197,1477,2570,2117
"ENSMUSG00000110711",0,2,0,0,2,0,0,0,0,0,1,0
"ENSMUSG00000110634",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110506",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110623",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118719",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110633",0,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000110717",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076880",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110567",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000110715",1,3,1,3,0,0,2,0,0,0,1,0
"ENSMUSG00000110552",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089539",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076357",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109937",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081111",2,1,5,4,2,0,5,4,0,3,1,3
"ENSMUSG00000098116",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000109615",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109645",0,0,0,0,0,0,1,0,0,1,0,0
"ENSMUSG00000109681",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110194",1,1,4,0,0,1,0,2,0,0,0,1
"ENSMUSG00000080480",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110011",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089819",0,1,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000062991",16,10,19,8,9,9,10,11,8,1,5,13
"ENSMUSG00000118541",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089370",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079070",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110214",0,0,0,1,1,0,0,0,0,0,1,0
"ENSMUSG00000083557",0,0,0,1,0,0,0,0,0,0,0,2
"ENSMUSG00000036510",0,0,0,0,0,1,0,0,0,0,0,1
"ENSMUSG00000109775",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000119307",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086842",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090116",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000052479",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000083586",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109939",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071041",47,47,162,78,96,43,92,68,40,25,69,50
"ENSMUSG00000081383",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110220",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110014",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109769",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000087985",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002076868",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110069",0,1,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000031673",0,1,1,0,0,1,1,0,0,1,1,3
"ENSMUSG00000110084",0,1,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109997",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031583",10,15,24,19,27,14,20,22,27,15,20,18
"ENSMUSG00002074971",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110269",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000063696",328,467,1291,769,671,562,746,594,435,317,470,403
"ENSMUSG00000109848",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109701",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000110340",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109699",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110336",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049184",9,8,8,8,2,13,2,3,6,4,8,4
"ENSMUSG00000110019",1,0,3,0,1,0,1,1,0,0,0,1
"ENSMUSG00000109750",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000110053",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000009628",0,0,0,0,0,0,0,0,0,0,3,1
"ENSMUSG00000031871",16,47,31,52,37,25,53,34,35,28,42,48
"ENSMUSG00000109909",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000009630",165,149,626,342,308,209,292,303,115,99,197,181
"ENSMUSG00000052906",114,120,339,237,207,172,221,194,127,79,202,134
"ENSMUSG00000031872",0,0,0,1,0,0,0,0,0,0,0,2
"ENSMUSG00000074128",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031584",149,325,639,494,422,245,385,306,211,137,300,180
"ENSMUSG00000110674",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110638",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110551",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000119577",0,0,2,2,3,3,2,0,1,1,2,0
"ENSMUSG00000049476",0,0,2,0,0,0,0,1,0,0,0,1
"ENSMUSG00000025812",169,189,363,258,298,161,335,246,215,174,258,171
"ENSMUSG00000031585",42,60,122,104,73,56,92,49,45,45,71,54
"ENSMUSG00000094500",0,0,1,0,0,0,0,0,0,0,1,0
"ENSMUSG00000090074",1,1,0,1,1,0,2,0,2,1,0,1
"ENSMUSG00002075056",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099326",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035824",15,24,43,36,51,26,43,26,26,33,52,21
"ENSMUSG00000025810",79,114,179,83,124,66,146,117,142,72,125,107
"ENSMUSG00000084523",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110562",0,0,0,0,0,0,0,0,1,1,0,0
"ENSMUSG00000118782",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000110654",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000025809",546,637,1671,1078,1011,632,927,935,458,341,748,642
"ENSMUSG00000054400",3,6,36,17,12,8,20,13,11,7,8,7
"ENSMUSG00000074127",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031876",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110430",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110642",0,0,1,0,1,1,0,1,1,0,1,0
"ENSMUSG00000078953",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035785",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110600",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031586",310,418,1186,539,612,399,639,554,386,215,479,354
"ENSMUSG00000025808",1,0,0,0,0,0,0,0,0,0,2,2
"ENSMUSG00000097442",6,4,3,9,3,3,0,1,0,0,4,1
"ENSMUSG00000098166",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110614",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000110663",5,2,6,3,1,1,3,2,0,2,4,2
"ENSMUSG00000054618",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000102141",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087870",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000077538",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031875",22,30,53,42,46,14,55,45,32,36,54,50
"ENSMUSG00000096188",35,57,153,111,91,91,95,95,62,56,105,73
"ENSMUSG00000110486",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031516",40,64,116,95,94,75,124,107,79,47,102,79
"ENSMUSG00000056018",0,0,0,0,1,1,0,1,0,0,2,0
"ENSMUSG00000063412",2,5,14,13,9,5,11,10,6,3,2,3
"ENSMUSG00000071113",0,1,1,0,0,1,1,0,0,0,0,0
"ENSMUSG00000119884",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109869",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000078840",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031513",101,142,323,192,201,123,225,146,116,90,153,130
"ENSMUSG00000110247",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071302",4,7,14,9,7,9,9,17,12,5,14,9
"ENSMUSG00000035770",40,39,95,64,44,32,81,62,59,27,60,37
"ENSMUSG00000094530",13,41,107,84,61,46,97,76,25,20,34,30
"ENSMUSG00000110605",1,2,6,3,4,0,7,8,0,4,6,1
"ENSMUSG00000110689",0,2,1,5,3,1,0,3,1,0,2,0
"ENSMUSG00000110630",1,2,0,2,1,0,3,1,0,2,0,2
"ENSMUSG00000031532",170,284,571,461,374,310,507,369,251,276,422,289
"ENSMUSG00000098785",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100605",0,0,1,0,0,1,0,0,0,1,0,0
"ENSMUSG00002075785",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095202",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000098046",0,2,1,2,1,1,0,0,1,0,0,0
"ENSMUSG00000056797",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109964",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110178",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110369",0,0,0,2,1,2,0,1,1,1,3,2
"ENSMUSG00000109580",0,0,0,0,2,1,1,0,2,0,3,1
"ENSMUSG00000110015",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109819",0,0,0,0,0,1,1,0,0,0,0,0
"ENSMUSG00000109880",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000109846",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031530",42,13,94,59,32,18,37,31,5,11,19,15
"ENSMUSG00000052616",0,0,1,1,0,0,0,0,0,0,0,0
"ENSMUSG00000077633",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031529",73,91,178,142,96,81,82,102,84,63,90,75
"ENSMUSG00000054247",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109717",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110361",0,0,1,3,1,0,0,2,0,0,0,0
"ENSMUSG00000110130",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097106",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109678",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110314",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109773",0,1,0,1,1,1,1,1,0,0,0,0
"ENSMUSG00000109607",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109688",0,0,0,0,1,0,0,0,0,0,0,1
"ENSMUSG00000109698",0,1,0,0,1,1,0,0,2,0,0,0
"ENSMUSG00000046794",175,434,188,414,619,215,213,275,346,208,227,149
"ENSMUSG00000110384",1,4,3,1,4,1,0,0,0,2,1,2
"ENSMUSG00000110367",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031527",41,62,165,112,104,74,99,85,56,47,81,58
"ENSMUSG00000097357",2,6,2,5,4,1,6,3,5,3,4,6
"ENSMUSG00000070056",95,108,190,147,161,87,190,136,85,90,140,103
"ENSMUSG00000110335",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109714",0,0,1,0,0,0,0,1,2,1,0,0
"ENSMUSG00002075505",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002075958",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109372",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110359",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031878",92,132,260,211,186,116,193,132,100,89,158,119
"ENSMUSG00000055976",2,0,1,0,0,0,2,3,0,0,0,0
"ENSMUSG00000109761",0,0,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00002075152",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098181",28,43,101,40,45,39,48,45,26,11,23,19
"ENSMUSG00000050271",5,6,10,7,7,2,4,4,6,5,5,1
"ENSMUSG00000109704",0,0,1,0,0,0,1,0,1,0,1,0
"ENSMUSG00000110321",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110116",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110176",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031883",5,6,16,6,5,5,11,6,5,4,5,8
"ENSMUSG00000110607",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000048371",69,150,228,161,183,159,214,212,175,126,262,146
"ENSMUSG00000039633",48,29,75,67,42,25,44,39,35,5,38,19
"ENSMUSG00000098154",1,3,16,9,7,6,5,2,0,2,4,2
"ENSMUSG00000088051",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109977",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039620",2,16,15,22,6,13,18,7,4,12,15,2
"ENSMUSG00000031881",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031880",3,3,28,8,4,5,15,23,2,4,11,17
"ENSMUSG00000110652",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031523",67,74,100,105,100,83,176,101,106,93,128,115
"ENSMUSG00000031879",54,80,211,147,134,115,141,89,55,55,101,80
"ENSMUSG00000110242",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000074384",0,1,2,3,1,0,3,6,4,4,1,6
"ENSMUSG00000023737",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110158",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109817",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109668",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110285",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110337",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110568",8,7,16,20,8,2,9,8,7,6,12,8
"ENSMUSG00000109932",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109646",0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000109795",0,1,4,1,3,1,0,2,0,0,1,0
"ENSMUSG00000065277",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110557",0,0,1,0,0,1,1,1,0,0,0,0
"ENSMUSG00000110312",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00002075956",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110415",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000118580",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109820",0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000110497",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000039539",0,1,0,0,0,0,0,1,0,0,0,1
"ENSMUSG00000081316",0,0,1,0,0,0,0,0,0,0,1,0
"ENSMUSG00000081517",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000065457",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110236",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000055730",547,545,933,1116,1068,606,1291,765,756,709,1146,922
"ENSMUSG00000110639",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110118",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110694",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000069925",0,0,0,0,1,0,0,1,0,0,0,0
"ENSMUSG00000050097",5,5,14,0,4,6,2,1,5,2,6,4
"ENSMUSG00000089748",0,3,3,2,2,0,0,1,0,0,1,0
"ENSMUSG00000025044",17,23,15,31,22,17,34,21,25,27,27,28
"ENSMUSG00000109789",0,0,0,1,0,0,1,0,0,0,1,0
"ENSMUSG00000109815",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000061825",155,167,239,220,164,175,232,143,218,175,395,195
"ENSMUSG00000031603",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031884",10,9,13,15,6,16,6,9,9,8,13,12
"ENSMUSG00000110597",0,2,1,1,2,3,3,6,3,1,5,2
"ENSMUSG00000039478",26,18,50,37,20,12,43,30,26,22,31,13
"ENSMUSG00000098431",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031886",539,667,1220,1645,1355,952,1798,1228,1428,840,1550,1037
"ENSMUSG00000118611",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039470",8,14,21,8,6,9,3,12,10,4,10,11
"ENSMUSG00000062826",0,0,0,1,1,0,0,0,0,0,0,0
"ENSMUSG00000031877",49,36,73,93,73,50,86,79,59,28,70,59
"ENSMUSG00000110479",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000091813",0,1,3,0,1,0,1,0,0,1,0,0
"ENSMUSG00000110549",0,0,1,0,0,0,1,0,0,0,0,0
"ENSMUSG00000031601",83,135,238,164,189,107,174,131,119,71,112,113
"ENSMUSG00000069922",4553,5137,7893,7479,7931,5102,8309,5224,6438,4818,7092,7926
"ENSMUSG00000031600",102,201,412,315,265,173,305,241,208,174,261,201
"ENSMUSG00000110488",0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000062181",1280,1332,2411,2174,2213,1167,2395,1369,2067,1341,1636,2071
"ENSMUSG00000110502",0,1,4,0,0,2,1,1,0,0,0,0
"ENSMUSG00000060560",28,8,18,15,17,10,7,8,7,17,17,18
"ENSMUSG00000099465",0,0,1,1,3,0,0,0,5,0,0,1
"ENSMUSG00000039431",20,12,30,37,47,15,24,25,29,14,20,31
"ENSMUSG00000046723",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000109658",43,40,65,66,79,49,76,51,59,45,56,50
"ENSMUSG00000110315",0,0,0,0,0,0,1,0,1,0,0,0
"ENSMUSG00000110228",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000110370",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071937",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000110032",0,0,0,0,0,1,1,0,0,0,0,1
"ENSMUSG00000046282",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054033",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000098050",0,2,4,3,1,1,2,4,1,3,1,3
"ENSMUSG00000031885",98,147,341,214,212,137,219,181,95,84,140,138
"ENSMUSG00000119598",0,0,1,1,0,1,1,0,0,0,0,1
"ENSMUSG00000084711",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031596",301,351,537,630,634,414,740,422,510,515,897,670
"ENSMUSG00000031595",0,0,1,1,1,0,1,2,0,1,0,0
"ENSMUSG00000031889",13,24,22,12,21,6,14,12,23,11,8,12
"ENSMUSG00000069920",0,0,1,0,1,0,0,2,0,0,0,0
"ENSMUSG00000031887",27,42,79,54,60,28,81,51,47,34,58,54
"ENSMUSG00000033313",15,22,39,14,21,14,33,17,9,8,24,20
"ENSMUSG00000045636",173,211,326,303,316,239,419,262,328,250,349,288
"ENSMUSG00000084960",1,2,4,2,0,0,0,2,1,1,1,0
"ENSMUSG00000086773",1,2,0,2,2,0,1,0,2,0,0,0
"ENSMUSG00000085672",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031594",480,538,1124,788,696,531,788,611,753,318,546,449
"ENSMUSG00000085445",5,3,22,5,0,7,3,3,1,3,2,0
"ENSMUSG00000033249",13,8,11,12,15,13,19,12,14,7,15,15
"ENSMUSG00000014776",1,4,2,0,4,6,10,3,5,1,2,2
"ENSMUSG00000014837",0,1,3,1,6,0,1,0,0,0,0,0
"ENSMUSG00000110611",0,0,0,1,0,1,0,0,0,0,0,0
"ENSMUSG00000043251",1,1,2,3,0,3,3,1,8,2,6,2
"ENSMUSG00000014859",42,82,266,128,186,86,131,138,71,50,139,75
"ENSMUSG00000014791",6,13,33,20,32,15,29,27,21,21,27,22
"ENSMUSG00002076683",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000070130",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041679",1,1,1,8,3,6,10,5,13,6,7,9
"ENSMUSG00000014856",112,120,301,234,224,184,227,175,143,123,210,155
"ENSMUSG00000014778",10,11,28,13,21,22,32,22,24,13,26,7
"ENSMUSG00000014786",0,0,1,1,0,0,5,3,1,0,1,2
"ENSMUSG00000014782",0,0,2,0,1,0,0,0,0,0,0,0
"ENSMUSG00000051648",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000054320",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000014846",0,0,2,3,1,2,0,4,0,0,0,0
"ENSMUSG00000039199",0,4,0,0,0,1,0,2,4,1,2,2
"ENSMUSG00000110608",0,0,0,0,0,1,0,1,0,0,0,0
"ENSMUSG00000031891",2,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000013160",111,200,425,253,255,201,283,231,166,131,193,208
"ENSMUSG00000003573",6,16,25,23,16,14,10,19,6,4,16,12
"ENSMUSG00000057788",5,8,12,13,8,6,9,4,7,10,8,9
"ENSMUSG00000055681",229,260,503,439,469,289,455,256,374,261,439,372
"ENSMUSG00000087408",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109523",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058301",53,45,142,68,65,33,51,57,27,13,41,23
"ENSMUSG00000031849",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000003575",11,13,9,15,18,11,14,11,16,10,12,11
"ENSMUSG00000055707",22,18,14,25,26,10,17,22,26,17,14,21
"ENSMUSG00000035964",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110052",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000007888",0,0,1,0,0,0,2,0,1,0,0,0
"ENSMUSG00000058833",82,94,181,137,184,102,170,111,87,94,120,138
"ENSMUSG00000090137",4,6,13,4,6,4,10,4,5,6,5,7
"ENSMUSG00000055553",87,117,176,152,166,113,189,106,126,81,135,138
"ENSMUSG00000019428",475,552,795,824,914,535,1020,739,718,571,759,705
"ENSMUSG00000070002",52,70,117,78,75,58,104,80,94,45,93,64
"ENSMUSG00000019139",18,38,62,52,59,60,61,67,29,34,38,23
"ENSMUSG00000070003",2,2,1,2,0,0,2,3,1,1,1,1
"ENSMUSG00000110030",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049988",0,0,0,1,0,0,0,0,0,0,0,2
